"","A1","A2","A3","B1","B2","B3","B4","А4"
"ENSG00000281680",16,15,22,18,17,22,21,18
"ENSG00000281683",0,0,0,0,0,0,0,0
"ENSG00000281687",80,63,74,31,30,28,33,71
"ENSG00000281688",0,0,0,0,0,5,0,0
"ENSG00000281690",3,2,1,0,15,6,0,6
"ENSG00000281697",25,28,31,15,14,11,10,26
"ENSG00000281699",0,0,1,0,6,0,0,0
"ENSG00000281702",41,46,52,57,50,74,60,41
"ENSG00000281703",0,11,0,0,4,0,0,5
"ENSG00000281707",0,0,0,0,0,0,0,0
"ENSG00000281709",367,452,379,214,213,205,184,383
"ENSG00000281711",0,0,0,0,0,0,0,0
"ENSG00000281718",1,0,0,0,0,0,0,0
"ENSG00000281720",0,0,0,0,0,7,3,0
"ENSG00000281722",0,0,0,0,0,0,0,0
"ENSG00000281725",0,0,0,0,0,0,0,0
"ENSG00000281737",0,0,0,0,0,0,0,0
"ENSG00000281742",60,29,61,27,23,17,18,52
"ENSG00000281743",2,1,1,1,2,1,1,2
"ENSG00000281748",6,3,14,15,8,11,9,4
"ENSG00000281754",0,0,0,0,0,0,0,0
"ENSG00000281757",0,0,0,0,0,0,0,0
"ENSG00000281758",0,0,2,5,1,1,1,0
"ENSG00000281759",923,699,824,8,7,3,6,845
"ENSG00000281763",502,626,491,453,477,570,392,517
"ENSG00000281764",1,0,0,0,0,0,2,0
"ENSG00000281766",46,22,43,121,105,93,86,53
"ENSG00000281773",0,0,0,0,1,1,2,0
"ENSG00000281775",27,7,7,5,3,2,6,16
"ENSG00000281777",0,0,0,2,2,2,3,0
"ENSG00000281782",0,0,1,0,5,0,0,0
"ENSG00000281785",0,0,0,0,4,3,2,0
"ENSG00000281797",8,12,13,27,27,19,25,11
"ENSG00000281798",2,1,1,1,2,1,1,2
"ENSG00000281800",0,0,0,3,3,7,4,0
"ENSG00000281804",0,0,0,0,0,1,1,0
"ENSG00000281805",0,0,0,0,0,0,1,1
"ENSG00000281813",1132,1197,1153,1012,1026,1024,993,1016
"ENSG00000281815",0,1,0,0,6,13,12,0
"ENSG00000281818",327,297,312,226,222,194,194,275
"ENSG00000281819",0,0,0,3,2,2,0,0
"ENSG00000281820",0,1,1,0,0,0,1,0
"ENSG00000281825",1,1,0,0,1,0,0,0
"ENSG00000281828",7,11,4,0,0,0,0,0
"ENSG00000281841",1,1,1,6,11,12,7,2
"ENSG00000281846",0,0,1,11,12,16,5,0
"ENSG00000281847",7,9,12,4,11,3,8,6
"ENSG00000281848",54,50,65,5,4,1,3,63
"ENSG00000281857",126,128,112,221,238,174,187,109
"ENSG00000281861",0,0,0,0,0,0,0,0
"ENSG00000281862",0,0,0,2,1,0,4,0
"ENSG00000281874",5,6,5,1,2,1,2,6
"ENSG00000281877",2565,2461,2559,1383,1405,1296,1197,2576
"ENSG00000281878",0,0,0,0,0,1,0,0
"ENSG00000281879",120,73,135,1,1,0,2,117
"ENSG00000281883",31,25,25,10,12,19,16,23
"ENSG00000281886",6,4,9,18,66,19,61,2
"ENSG00000281887",230,81,132,596,561,646,501,87
"ENSG00000281890",18,16,22,0,2,0,1,21
"ENSG00000281894",34,58,55,101,64,89,66,40
"ENSG00000281896",20,46,26,14,24,25,16,24
"ENSG00000281897",226,233,245,202,199,172,169,232
"ENSG00000281900",16,23,12,35,32,26,37,12
"ENSG00000281901",2,1,1,1,2,1,1,2
"ENSG00000281909",9,7,6,10,3,5,4,5
"ENSG00000281913",29,40,38,30,29,27,16,31
"ENSG00000281917",909,973,915,139,140,175,109,930
"ENSG00000281919",0,0,0,0,6,3,0,0
"ENSG00000281922",0,0,0,25,28,28,17,0
"ENSG00000281923",0,0,0,0,1,0,0,0
"ENSG00000281924",0,0,0,1,0,0,0,0
"ENSG00000281925",2,2,1,2,1,2,0,0
"ENSG00000281926",0,0,0,0,0,0,0,0
"ENSG00000281927",0,0,0,0,0,0,0,0
"ENSG00000281929",2,0,2,1,1,0,1,4
"ENSG00000281931",3,15,5,5,2,2,4,11
"ENSG00000281933",655,584,708,12,16,17,15,666
"ENSG00000281934",0,0,0,2,2,2,3,0
"ENSG00000281935",10,15,19,33,25,23,13,6
"ENSG00000281938",13,16,6,16,14,23,22,0
"ENSG00000281939",0,0,1,1,1,0,5,0
"ENSG00000281940",0,0,0,0,0,0,0,0
"ENSG00000281941",0,0,0,1,2,1,0,0
"ENSG00000281943",0,0,0,38,41,46,39,0
"ENSG00000281944",32,24,32,0,0,0,0,35
"ENSG00000281946",0,0,0,0,2,0,0,0
"ENSG00000281947",1,1,0,1,0,0,0,1
"ENSG00000281948",0,3,0,0,0,0,0,0
"ENSG00000281950",227,256,250,233,192,195,187,274
"ENSG00000281952",0,0,0,0,0,1,0,0
"ENSG00000281955",0,0,0,6,2,5,2,0
"ENSG00000281956",0,0,0,0,0,0,0,0
"ENSG00000281957",1,0,0,7,11,7,7,1
"ENSG00000281958",0,1,1,8,4,4,5,1
"ENSG00000281959",0,0,0,1,0,0,0,2
"ENSG00000281962",6298,5552,6085,77,76,86,80,5874
"ENSG00000281963",0,0,0,15,15,11,14,0
"ENSG00000281964",0,1,0,1,1,4,2,1
"ENSG00000281965",132,140,168,24,13,10,29,92
"ENSG00000281966",4,2,3,2,1,1,0,2
"ENSG00000281967",0,0,0,0,0,0,0,0
"ENSG00000281968",2,6,2,3,9,7,7,0
"ENSG00000281970",1,1,1,8,14,10,4,1
"ENSG00000281971",0,0,0,0,1,1,2,0
"ENSG00000281972",0,3,0,11,8,8,3,0
"ENSG00000281973",0,1,1,2,3,2,1,2
"ENSG00000281976",3,2,7,56,8,4,27,3
"ENSG00000281977",11,16,9,12,15,13,15,16
"ENSG00000281978",1169,1051,1277,25,22,23,18,1190
"ENSG00000281981",6,0,0,226,198,180,220,0
"ENSG00000281983",1,4,1,0,0,0,0,2
"ENSG00000281984",0,0,0,0,0,0,0,0
"ENSG00000281986",3,4,2,6,2,2,4,2
"ENSG00000281987",0,0,0,2,1,1,1,0
"ENSG00000281988",1,5,0,5,0,1,1,0
"ENSG00000281989",0,1,1,7,7,7,8,0
"ENSG00000281990",36,27,27,1,1,1,0,19
"ENSG00000281991",0,14,11,18,18,10,17,13
"ENSG00000281992",0,0,0,0,0,0,1,0
"ENSG00000281994",252,290,222,76,66,39,53,309
"ENSG00000281996",79,73,90,0,0,0,1,99
"ENSG00000281999",0,0,0,0,0,0,0,0
"ENSG00000282000",1,1,1,4,5,4,4,1
"ENSG00000282003",4,12,6,10,15,6,13,0
"ENSG00000282004",0,0,0,4,5,7,0,0
"ENSG00000282006",0,0,0,1,0,0,0,0
"ENSG00000282007",3,1,1,20,9,8,8,1
"ENSG00000282008",0,0,0,0,1,0,2,0
"ENSG00000282010",0,0,0,0,0,0,0,0
"ENSG00000282013",55,35,36,10,9,8,26,28
"ENSG00000282014",0,1,0,0,0,0,0,1
"ENSG00000282015",7,4,8,5,5,6,2,7
"ENSG00000282016",0,0,0,0,0,0,0,0
"ENSG00000282017",25,0,0,17,0,59,43,0
"ENSG00000282018",0,0,0,0,1,0,0,0
"ENSG00000282019",596,501,597,43,20,21,32,496
"ENSG00000282023",0,0,0,0,0,0,0,0
"ENSG00000282025",2008,1832,2089,18,20,21,19,2251
"ENSG00000282026",0,0,0,0,0,0,0,0
"ENSG00000282032",1,2,1,0,1,0,2,1
"ENSG00000282034",735,660,795,295,279,266,255,760
"ENSG00000282035",2,0,0,1,0,6,0,3
"ENSG00000282036",1,1,1,1,3,2,5,2
"ENSG00000282037",0,0,0,1,0,0,0,0
"ENSG00000282038",0,0,0,0,0,0,0,0
"ENSG00000282039",1,2,2,0,1,0,0,2
"ENSG00000282040",4,12,5,29,29,23,16,5
"ENSG00000282042",0,0,0,0,0,0,0,0
"ENSG00000282045",276,177,253,6,6,2,0,286
"ENSG00000282046",597,652,537,224,202,215,215,478
"ENSG00000282047",3,0,0,6,4,5,9,1
"ENSG00000282049",5724,4975,5609,101,90,68,61,5404
"ENSG00000282050",7,5,6,0,2,0,1,5
"ENSG00000282051",0,0,0,0,0,0,0,0
"ENSG00000282052",2,10,5,19,7,29,10,0
"ENSG00000282054",15,6,6,19,15,7,18,8
"ENSG00000282055",8,0,8,0,1,0,0,8
"ENSG00000282058",0,0,0,0,0,0,0,0
"ENSG00000282059",0,0,0,0,12,0,23,0
"ENSG00000282060",0,0,0,0,0,0,0,0
"ENSG00000282061",1,0,0,0,0,0,0,0
"ENSG00000282062",0,0,0,0,0,0,0,0
"ENSG00000282063",1,1,2,0,1,0,0,1
"ENSG00000282064",9,0,4,52,47,58,29,4
"ENSG00000282065",840,141,1082,32,40,45,36,1208
"ENSG00000282066",0,0,0,0,0,0,0,0
"ENSG00000282068",5,10,15,6,7,15,6,16
"ENSG00000282072",0,0,0,5,2,2,1,0
"ENSG00000282073",0,0,0,0,0,0,0,0
"ENSG00000282074",25,43,36,50,63,54,72,17
"ENSG00000282076",0,15,1,0,0,0,0,0
"ENSG00000282078",1,1,0,4,10,5,4,2
"ENSG00000282079",0,0,0,61,60,82,35,4
"ENSG00000282082",0,0,0,0,1,1,0,0
"ENSG00000282084",173,137,145,83,104,93,69,142
"ENSG00000282085",0,0,0,0,0,0,0,0
"ENSG00000282086",263,247,479,78,106,113,107,310
"ENSG00000282087",0,2,0,0,0,0,2,0
"ENSG00000282088",0,0,0,0,0,0,0,0
"ENSG00000282089",0,0,0,0,0,0,0,0
"ENSG00000282090",0,0,0,0,0,0,0,0
"ENSG00000282092",103,64,61,6,14,31,6,85
"ENSG00000282093",0,0,0,0,1,3,0,0
"ENSG00000282094",15,7,5,0,2,2,0,0
"ENSG00000282095",0,0,0,0,0,0,0,0
"ENSG00000282098",2,1,3,10,15,14,12,6
"ENSG00000282099",0,0,0,1,0,0,0,0
"ENSG00000282100",59,53,62,115,130,124,141,45
"ENSG00000282102",0,0,0,0,0,0,0,0
"ENSG00000282104",47,0,83,6,8,0,0,53
"ENSG00000282105",14,15,35,6,9,19,6,30
"ENSG00000282107",0,0,0,0,0,0,1,1
"ENSG00000282108",0,1,0,2,1,1,1,0
"ENSG00000282109",23,20,5,16,11,0,4,5
"ENSG00000282115",2,0,2,0,0,2,3,0
"ENSG00000282116",0,0,0,0,2,2,0,0
"ENSG00000282117",0,0,0,1,2,2,2,0
"ENSG00000282118",0,0,0,0,0,0,0,0
"ENSG00000282119",0,0,0,0,2,1,1,0
"ENSG00000282120",46,52,64,0,9,0,0,47
"ENSG00000282122",40,28,28,1,1,1,1,27
"ENSG00000282123",3,3,2,3,1,1,2,2
"ENSG00000282125",0,0,0,0,0,0,0,0
"ENSG00000282126",0,0,0,0,0,0,0,0
"ENSG00000282127",0,0,0,0,1,1,1,0
"ENSG00000282130",276,233,262,212,172,163,160,308
"ENSG00000282131",731,645,796,24,19,24,0,745
"ENSG00000282132",0,0,0,0,0,0,0,0
"ENSG00000282133",1,1,2,11,12,22,5,0
"ENSG00000282134",2,2,2,8,6,6,1,4
"ENSG00000282136",0,0,0,0,0,0,0,0
"ENSG00000282137",0,0,0,7,7,8,0,0
"ENSG00000282138",0,0,0,0,0,0,0,0
"ENSG00000282139",0,0,0,1,0,0,0,0
"ENSG00000282144",57,1,69,50,6,0,49,1
"ENSG00000282145",0,0,0,0,0,0,0,0
"ENSG00000282147",11,4,8,1,1,0,2,3
"ENSG00000282148",2,1,1,0,0,0,1,1
"ENSG00000282149",0,0,0,1,0,0,0,0
"ENSG00000282150",249,247,279,9,9,6,12,259
"ENSG00000282151",10,302,10,8,0,0,0,2
"ENSG00000282152",1,0,1,2,0,2,4,0
"ENSG00000282153",4,3,3,4,7,6,7,5
"ENSG00000282154",0,0,0,3,5,3,4,1
"ENSG00000282156",0,0,0,1,0,0,1,1
"ENSG00000282157",3,0,1,1,2,2,0,1
"ENSG00000282159",0,0,0,1,0,0,0,0
"ENSG00000282161",0,0,0,0,0,0,1,0
"ENSG00000282163",477,437,467,6,6,7,9,475
"ENSG00000282168",6,8,0,0,0,0,0,23
"ENSG00000282169",0,0,0,0,0,0,0,0
"ENSG00000282170",0,0,0,1,3,9,11,0
"ENSG00000282171",220,262,238,246,296,251,255,186
"ENSG00000282172",51,39,72,2,3,5,1,66
"ENSG00000282173",0,2,1,12,12,6,5,1
"ENSG00000282174",3,3,6,7,4,2,6,3
"ENSG00000282175",1,0,0,1,2,0,1,0
"ENSG00000282178",26,12,29,2,0,3,2,21
"ENSG00000282179",1,4,2,6,5,4,6,1
"ENSG00000282180",10,10,6,1,3,0,3,6
"ENSG00000282181",8,6,1,5,7,5,4,2
"ENSG00000282182",64,33,18,0,2,0,1,71
"ENSG00000282183",173,134,238,12,17,20,15,142
"ENSG00000282184",4,170,184,3,10,0,6,132
"ENSG00000282185",4,5,5,2,0,1,1,3
"ENSG00000282186",0,0,0,1,1,0,0,1
"ENSG00000282188",7,6,9,1,0,1,2,12
"ENSG00000282190",0,0,0,0,1,3,1,0
"ENSG00000282193",1,1,0,1,0,1,0,3
"ENSG00000282194",0,0,0,0,3,0,0,0
"ENSG00000282195",3,11,1,5,11,9,2,3
"ENSG00000282196",0,0,0,0,0,0,1,0
"ENSG00000282197",0,0,0,0,0,0,0,0
"ENSG00000282198",0,0,0,1,2,0,1,1
"ENSG00000282200",2,3,4,1,1,0,0,1
"ENSG00000282203",1,3,12,9,13,17,12,2
"ENSG00000282204",2,2,5,23,23,12,19,1
"ENSG00000282206",0,0,0,0,0,0,0,0
"ENSG00000282208",1,1,0,18,18,19,18,2
"ENSG00000282209",0,0,0,4,0,0,7,0
"ENSG00000282210",97,73,129,3,2,4,4,101
"ENSG00000282211",5141,4376,5466,71,63,63,64,4827
"ENSG00000282212",2,4,6,9,8,11,8,8
"ENSG00000282213",525,482,516,9,15,12,16,464
"ENSG00000282215",0,2,1,12,12,6,5,1
"ENSG00000282216",0,0,0,0,0,0,0,0
"ENSG00000282218",0,0,0,0,4,12,2,0
"ENSG00000282219",0,0,0,0,1,0,1,0
"ENSG00000282222",0,0,0,7,9,5,8,0
"ENSG00000282223",535,483,518,12,14,11,13,444
"ENSG00000282224",0,0,0,0,0,0,0,0
"ENSG00000282225",0,0,0,0,1,0,2,0
"ENSG00000282227",0,0,0,0,0,0,0,0
"ENSG00000282228",120,109,143,33,39,29,37,130
"ENSG00000282230",0,0,9,67,0,3,0,20
"ENSG00000282232",0,0,0,0,1,1,1,0
"ENSG00000282234",5,3,2,12,18,14,11,3
"ENSG00000282236",0,1,0,0,2,0,0,0
"ENSG00000282238",0,0,1,0,3,1,1,0
"ENSG00000282239",0,0,0,0,0,0,0,0
"ENSG00000282240",2,1,1,9,4,6,8,2
"ENSG00000282242",1,0,3,13,10,8,8,1
"ENSG00000282243",867,826,773,276,333,330,309,852
"ENSG00000282244",0,0,0,0,0,0,0,0
"ENSG00000282246",222,248,243,296,286,304,273,199
"ENSG00000282247",1,4,2,3,3,3,3,3
"ENSG00000282248",1,4,3,0,0,1,0,2
"ENSG00000282249",0,0,0,0,0,0,0,0
"ENSG00000282250",7,7,2,22,18,14,13,8
"ENSG00000282251",1,2,0,0,1,0,0,1
"ENSG00000282252",5,2,5,10,10,19,8,3
"ENSG00000282253",0,0,0,0,0,0,0,0
"ENSG00000282254",99,86,103,133,89,44,77,101
"ENSG00000282256",7,3,6,78,72,77,84,6
"ENSG00000282258",0,0,0,1,0,1,3,0
"ENSG00000282259",1,1,2,0,1,1,0,0
"ENSG00000282266",2,2,1,6,15,7,6,1
"ENSG00000282267",1,1,2,0,0,0,1,3
"ENSG00000282268",0,0,0,0,0,0,0,0
"ENSG00000282269",20,45,30,121,119,69,118,27
"ENSG00000282270",1,0,0,2,4,4,4,1
"ENSG00000282271",1,0,0,3,3,0,5,0
"ENSG00000282272",0,1,1,4,4,3,4,0
"ENSG00000282273",0,1,1,8,4,4,5,1
"ENSG00000282274",0,0,0,0,0,0,0,0
"ENSG00000282277",3,3,5,0,1,2,2,5
"ENSG00000282278",215,153,72,0,20,11,1,117
"ENSG00000282281",3934,3225,4108,79,72,76,81,3560
"ENSG00000282282",653,575,648,17,14,19,16,543
"ENSG00000282283",0,0,0,0,0,0,1,0
"ENSG00000282284",471,431,497,0,15,13,14,409
"ENSG00000282285",1,1,2,6,6,9,7,1
"ENSG00000282286",157,162,173,8,5,7,4,151
"ENSG00000282289",0,0,0,0,0,0,0,0
"ENSG00000282290",2462,2490,2775,45,35,57,46,2335
"ENSG00000282291",15,12,11,5,4,0,0,35
"ENSG00000282292",0,0,0,0,0,0,0,0
"ENSG00000282293",6,9,5,52,43,43,60,3
"ENSG00000282294",1,0,0,0,0,0,0,0
"ENSG00000282295",0,0,2,7,5,6,2,1
"ENSG00000282297",1,0,0,8,0,0,0,2
"ENSG00000282298",0,0,0,1,3,0,2,0
"ENSG00000282299",0,0,0,1,0,5,0,1
"ENSG00000282300",2,0,0,0,0,0,0,0
"ENSG00000282301",8,2,18,6,9,0,0,11
"ENSG00000282302",4,7,6,0,10,2,1,4
"ENSG00000282303",0,0,0,0,1,4,1,1
"ENSG00000282305",2155,1855,2108,34,27,23,28,2064
"ENSG00000282306",0,0,0,0,2,3,4,0
"ENSG00000282307",40,30,23,35,20,45,26,38
"ENSG00000282308",14,22,21,26,27,9,19,15
"ENSG00000282310",73,62,74,3,5,1,3,78
"ENSG00000282311",1,1,0,0,0,1,0,0
"ENSG00000282312",0,0,0,0,0,0,0,0
"ENSG00000282315",0,0,1,2,3,3,2,0
"ENSG00000282316",0,0,0,0,0,0,0,0
"ENSG00000282318",5,8,2,11,36,35,28,2
"ENSG00000282319",0,0,0,16,29,24,20,0
"ENSG00000282320",1,1,0,4,10,5,4,2
"ENSG00000282321",0,0,0,2,0,0,0,0
"ENSG00000282322",548,451,599,12,9,11,9,525
"ENSG00000282323",0,0,0,0,0,0,0,0
"ENSG00000282324",0,1,0,0,0,0,0,1
"ENSG00000282326",1,4,0,0,1,1,2,0
"ENSG00000282327",0,0,0,1,0,0,0,0
"ENSG00000282329",0,0,0,0,0,0,0,0
"ENSG00000282331",79,70,90,947,919,849,880,58
"ENSG00000282333",1,1,0,12,12,10,14,0
"ENSG00000282335",0,0,0,0,1,0,0,0
"ENSG00000282337",28,25,26,3,4,2,1,21
"ENSG00000282339",0,0,0,1,2,2,1,0
"ENSG00000282340",0,0,0,14,14,16,8,0
"ENSG00000282342",64,61,23,3,3,0,0,69
"ENSG00000282344",209,1,2,0,10,0,0,0
"ENSG00000282345",2,0,0,1,1,0,2,0
"ENSG00000282346",0,0,0,0,0,0,0,0
"ENSG00000282349",0,0,0,0,0,0,0,0
"ENSG00000282350",386,478,579,16,0,0,13,596
"ENSG00000282351",0,0,0,0,0,0,0,0
"ENSG00000282352",1,0,2,2,3,4,6,0
"ENSG00000282353",0,0,3,13,8,13,4,0
"ENSG00000282354",17,12,6,24,18,12,26,11
"ENSG00000282356",0,0,0,0,1,1,3,0
"ENSG00000282358",0,0,0,1,0,2,0,0
"ENSG00000282360",0,0,0,4,1,0,3,0
"ENSG00000282362",0,0,0,3,1,2,1,0
"ENSG00000282363",6,10,15,27,21,18,18,11
"ENSG00000282364",8,11,13,8,7,8,7,5
"ENSG00000282366",6,2,18,1,3,0,0,8
"ENSG00000282367",26,42,27,12,32,14,9,79
"ENSG00000282368",0,0,0,0,2,0,0,1
"ENSG00000282371",1,2,2,6,17,17,14,2
"ENSG00000282372",1,0,1,9,8,10,14,0
"ENSG00000282373",0,0,0,0,1,0,1,1
"ENSG00000282374",2,2,2,1,0,6,3,1
"ENSG00000282376",0,0,1,3,1,0,1,1
"ENSG00000282377",103,82,84,15,13,13,12,73
"ENSG00000282378",1,0,0,0,0,0,0,0
"ENSG00000282379",61,42,49,26,52,34,51,67
"ENSG00000282380",0,0,0,2,1,2,0,0
"ENSG00000282382",0,0,0,1,0,0,1,0
"ENSG00000282383",3,3,5,0,1,2,0,2
"ENSG00000282387",0,0,1,0,0,1,0,0
"ENSG00000282388",3,2,3,1,1,2,1,4
"ENSG00000282389",0,0,0,0,0,0,0,0
"ENSG00000282391",0,0,0,0,1,0,0,0
"ENSG00000282392",0,0,0,0,2,0,0,0
"ENSG00000282394",39,31,34,2,1,0,0,34
"ENSG00000282396",0,0,0,0,0,0,5,0
"ENSG00000282398",25,21,16,0,0,2,1,19
"ENSG00000282399",532,547,504,19,10,12,3,490
"ENSG00000282400",0,0,0,0,0,0,0,0
"ENSG00000282401",0,0,0,0,0,0,0,0
"ENSG00000282402",7755,6491,8164,138,122,127,133,7382
"ENSG00000282403",0,0,0,1,0,1,0,0
"ENSG00000282404",0,15,35,4,0,0,2,40
"ENSG00000282406",0,0,0,0,0,1,0,0
"ENSG00000282407",1,0,1,9,10,12,7,3
"ENSG00000282409",32,35,35,1,1,0,2,27
"ENSG00000282410",4,1,3,4,2,3,1,3
"ENSG00000282411",19,7,8,23,19,8,16,11
"ENSG00000282413",0,0,0,2,0,0,0,0
"ENSG00000282414",54,36,52,3,0,2,1,52
"ENSG00000282415",1,4,1,5,6,3,4,1
"ENSG00000282416",16,0,3,0,0,0,0,0
"ENSG00000282417",931,894,955,618,650,699,662,966
"ENSG00000282419",0,0,2,6,3,6,9,1
"ENSG00000282420",0,1,1,7,7,7,8,0
"ENSG00000282421",254,182,240,3,7,2,2,232
"ENSG00000282422",0,0,0,0,1,1,0,0
"ENSG00000282423",0,0,0,3,3,2,4,0
"ENSG00000282424",0,0,0,0,0,0,0,0
"ENSG00000282425",0,0,0,0,0,0,0,0
"ENSG00000282429",0,0,0,0,2,0,0,1
"ENSG00000282431",0,0,0,0,0,0,0,0
"ENSG00000282432",1,4,4,2,3,0,3,5
"ENSG00000282437",0,0,0,0,0,0,0,0
"ENSG00000282439",5,5,5,1,0,1,1,8
"ENSG00000282441",0,1,0,2,1,1,0,1
"ENSG00000282444",0,0,0,5,0,0,0,0
"ENSG00000282445",0,1,0,0,0,0,0,0
"ENSG00000282447",1504,1204,1634,54,46,39,36,1415
"ENSG00000282448",2,1,2,0,0,0,0,2
"ENSG00000282449",1,2,2,8,9,9,6,5
"ENSG00000282451",691,593,672,6,4,9,8,626
"ENSG00000282452",0,0,1,1,2,0,0,0
"ENSG00000282453",6,3,1,0,0,0,0,8
"ENSG00000282455",0,0,0,0,0,0,0,0
"ENSG00000282457",84,85,93,12,23,0,7,83
"ENSG00000282458",3583,3220,3604,1959,1841,1553,1870,3583
"ENSG00000282459",0,0,3,9,5,12,10,0
"ENSG00000282462",0,2,0,15,5,13,9,0
"ENSG00000282463",14,13,16,5,8,4,5,14
"ENSG00000282465",0,0,0,0,0,0,0,0
"ENSG00000282466",4,2,0,9,9,3,6,0
"ENSG00000282467",0,0,0,0,0,1,0,0
"ENSG00000282468",0,0,0,0,2,0,0,0
"ENSG00000282470",2,10,0,0,8,4,0,0
"ENSG00000282471",158,85,97,9,11,9,10,170
"ENSG00000282473",1,2,1,2,1,0,1,1
"ENSG00000282475",0,0,0,55,0,45,62,0
"ENSG00000282476",153,143,159,4,4,2,2,142
"ENSG00000282479",0,0,0,0,0,0,1,0
"ENSG00000282482",81,93,88,2,2,1,1,86
"ENSG00000282483",2,0,1,9,3,7,8,4
"ENSG00000282486",10,12,15,59,59,55,61,12
"ENSG00000282487",0,0,0,0,0,0,0,0
"ENSG00000282488",1,0,2,8,5,5,3,0
"ENSG00000282489",3,3,2,1,2,3,0,1
"ENSG00000282490",0,0,0,0,1,2,0,0
"ENSG00000282492",0,4,0,0,0,9,11,2
"ENSG00000282495",0,0,0,0,0,0,0,0
"ENSG00000282496",0,0,0,3,2,2,5,0
"ENSG00000282497",1,2,2,13,11,17,13,2
"ENSG00000282499",7,5,4,8,6,4,3,5
"ENSG00000282500",1,1,2,11,12,22,5,0
"ENSG00000282501",0,1,0,8,4,4,0,0
"ENSG00000282502",0,0,0,1,0,1,2,0
"ENSG00000282504",6,6,7,0,0,0,0,7
"ENSG00000282505",4,0,4,1,2,0,2,1
"ENSG00000282506",13,0,20,56,71,38,79,0
"ENSG00000282509",0,1,2,4,5,5,5,1
"ENSG00000282511",1,2,1,1,5,2,9,0
"ENSG00000282512",2,6,1,1,3,5,1,1
"ENSG00000282513",559,463,488,314,301,326,232,485
"ENSG00000282514",32,28,26,4,4,6,1,18
"ENSG00000282516",0,0,0,0,0,0,0,0
"ENSG00000282520",0,0,0,0,0,0,0,0
"ENSG00000282521",0,0,0,0,0,0,0,0
"ENSG00000282522",242,262,285,14,18,21,7,270
"ENSG00000282525",1,0,0,1,2,1,1,0
"ENSG00000282526",0,0,1,3,5,3,2,1
"ENSG00000282528",0,0,0,0,0,0,0,0
"ENSG00000282529",5,0,2,0,1,3,0,0
"ENSG00000282530",0,0,0,0,0,1,0,0
"ENSG00000282531",0,1,0,10,9,2,7,0
"ENSG00000282532",5,4,3,4,3,6,4,2
"ENSG00000282533",0,0,0,0,0,0,0,0
"ENSG00000282534",11,16,13,5,2,5,2,11
"ENSG00000282536",0,1,4,3,2,4,2,1
"ENSG00000282537",14,14,15,35,39,44,34,14
"ENSG00000282540",269,258,276,595,638,569,568,272
"ENSG00000282541",18,21,20,20,21,9,18,23
"ENSG00000282543",3,3,8,26,9,6,21,0
"ENSG00000282544",2,0,3,0,0,2,0,0
"ENSG00000282545",0,0,0,3,3,1,2,1
"ENSG00000282549",0,0,0,0,0,0,1,0
"ENSG00000282550",191,175,191,11,9,13,10,172
"ENSG00000282551",6,8,8,9,12,4,9,8
"ENSG00000282552",0,1,0,0,0,1,1,0
"ENSG00000282553",0,0,0,0,0,0,0,0
"ENSG00000282559",0,0,0,3,0,1,2,0
"ENSG00000282560",68,62,65,4,5,0,0,59
"ENSG00000282561",3,2,2,0,2,2,0,3
"ENSG00000282562",0,0,0,0,0,1,1,0
"ENSG00000282565",1,0,1,9,6,9,14,5
"ENSG00000282566",0,0,0,1,1,1,3,0
"ENSG00000282567",0,0,0,0,0,1,0,0
"ENSG00000282568",0,0,0,0,0,0,0,0
"ENSG00000282569",0,0,0,4,4,2,6,0
"ENSG00000282571",2,0,0,0,0,0,0,0
"ENSG00000282576",0,0,0,0,0,0,0,0
"ENSG00000282577",2,0,1,0,0,0,4,0
"ENSG00000282578",0,0,0,0,0,1,0,0
"ENSG00000282579",0,0,0,0,28,0,0,0
"ENSG00000282581",0,0,0,0,0,0,0,0
"ENSG00000282583",0,0,0,2,1,5,3,0
"ENSG00000282584",0,0,0,3,0,1,2,0
"ENSG00000282586",22,16,18,0,0,1,0,16
"ENSG00000282587",0,0,0,0,0,0,0,0
"ENSG00000282589",0,0,1,3,1,5,3,1
"ENSG00000282592",0,0,0,0,0,0,0,0
"ENSG00000282593",355,300,348,9,13,10,7,348
"ENSG00000282595",0,0,0,0,0,0,0,1
"ENSG00000282596",1,2,1,1,0,0,1,1
"ENSG00000282597",3,0,1,1,3,2,3,0
"ENSG00000282599",0,0,0,0,0,0,0,0
"ENSG00000282600",27,0,27,0,0,0,0,0
"ENSG00000282601",0,0,0,0,0,1,0,0
"ENSG00000282603",18,9,9,3,0,3,2,8
"ENSG00000282604",5,3,5,16,20,15,8,4
"ENSG00000282605",1,1,2,6,6,0,6,0
"ENSG00000282607",138,130,141,82,74,86,64,142
"ENSG00000282608",320,382,377,67,58,53,65,327
"ENSG00000282609",10,12,11,0,0,1,3,9
"ENSG00000282610",5,0,5,4,10,7,9,3
"ENSG00000282611",0,0,0,1,2,2,0,0
"ENSG00000282612",0,0,0,63,79,54,52,0
"ENSG00000282614",2,2,2,6,6,8,6,1
"ENSG00000282615",565,620,664,69,85,64,79,691
"ENSG00000282616",54,31,42,1,1,1,1,47
"ENSG00000282618",1,0,2,2,2,3,0,1
"ENSG00000282619",7,8,8,3,2,4,2,1
"ENSG00000282621",3,4,5,36,17,18,28,9
