"","A1","A2","A3","B1","B2","B3","B4","А4"
"ENSG00000012779",139,132,111,944,874,635,880,146
"ENSG00000012817",3286,3397,3263,2440,2515,2231,2346,3167
"ENSG00000012822",2118,2128,2496,1415,1504,1408,1299,2225
"ENSG00000012963",520,555,523,200,151,203,134,444
"ENSG00000012983",1347,1338,1338,1199,1199,1214,1229,1524
"ENSG00000013016",143,127,171,180,178,167,149,136
"ENSG00000013275",626,547,652,263,265,240,245,649
"ENSG00000013288",1057,907,953,740,748,624,598,982
"ENSG00000013293",218,240,182,321,314,238,296,211
"ENSG00000013297",82,88,100,88,95,81,60,95
"ENSG00000013306",1032,1032,1006,5811,5575,4785,4698,957
"ENSG00000013364",13578,12115,13876,3025,3144,2701,2869,13463
"ENSG00000013374",2717,2760,2560,1208,1188,1139,906,2791
"ENSG00000013375",1586,1761,1708,925,1255,856,1123,1516
"ENSG00000013392",219,243,219,82,72,65,60,187
"ENSG00000013441",4002,4320,4378,3315,3331,3636,3671,4301
"ENSG00000013503",307,288,307,352,392,328,315,304
"ENSG00000013523",354,362,457,403,395,294,346,467
"ENSG00000013561",2448,2639,2514,1409,1393,1478,1520,2648
"ENSG00000013563",693,564,663,328,381,277,279,638
"ENSG00000013573",742,633,663,295,337,417,283,681
"ENSG00000013583",1363,1377,1363,144,138,151,126,1334
"ENSG00000013588",3261,3191,3136,365,384,301,373,3534
"ENSG00000013619",33,30,30,29,37,16,26,13
"ENSG00000013725",544,472,523,650,567,654,650,471
"ENSG00000013810",357,357,363,755,671,597,518,251
"ENSG00000014123",2615,2807,2395,757,694,810,744,2556
"ENSG00000014138",347,297,354,286,265,269,281,272
"ENSG00000014164",196,195,177,70,53,49,52,198
"ENSG00000014216",3060,2893,2975,848,884,835,997,2907
"ENSG00000014257",65,79,70,1098,963,897,970,81
"ENSG00000014641",3529,3362,3506,737,741,854,735,3413
"ENSG00000014824",3494,3847,3685,1059,922,1031,914,3456
"ENSG00000014914",2673,2603,2779,286,302,297,275,2502
"ENSG00000014919",1535,1675,1647,659,796,818,757,1545
"ENSG00000015133",1114,993,1051,2597,2587,2363,2335,1128
"ENSG00000015153",1672,1865,1574,1329,1515,1396,1382,1634
"ENSG00000015171",2035,2346,2052,985,871,917,964,2023
"ENSG00000015285",138,122,80,294,227,226,277,101
"ENSG00000015413",9346,8604,10055,121,116,96,79,9203
