"","x"
"524","ENSG00000170832"
"525","ENSG00000026297"
"526","ENSG00000164066"
"527","ENSG00000187037"
"528","ENSG00000237296"
"529","ENSG00000145687"
"530","ENSG00000118263"
"531","ENSG00000153814"
"532","ENSG00000176463"
"533","ENSG00000113749"
"534","ENSG00000048342"
"535","ENSG00000140368"
"536","ENSG00000010671"
"537","ENSG00000076685"
"538","ENSG00000161405"
"539","ENSG00000131969"
"540","ENSG00000123329"
"541","ENSG00000261716"
"542","ENSG00000129450"
"543","ENSG00000163519"
"544","ENSG00000163864"
"545","ENSG00000163464"
"546","ENSG00000167671"
"547","ENSG00000136280"
"548","ENSG00000170871"
"549","ENSG00000266094"
"550","ENSG00000057757"
"551","ENSG00000152818"
"552","ENSG00000116852"
"553","ENSG00000185989"
"554","ENSG00000280477"
"555","ENSG00000119729"
"556","ENSG00000155744"
"557","ENSG00000138639"
"558","ENSG00000128487"
"559","ENSG00000123338"
"560","ENSG00000103479"
"561","ENSG00000165105"
"562","ENSG00000181788"
"563","ENSG00000180354"
"564","ENSG00000135049"
"565","ENSG00000156273"
"566","ENSG00000133816"
"567","ENSG00000152926"
"568","ENSG00000172081"
"569","ENSG00000111371"
"570","ENSG00000269713"
"571","ENSG00000175567"
"572","ENSG00000073756"
"573","ENSG00000138641"
"574","ENSG00000113369"
"575","ENSG00000174123"
"576","ENSG00000236539"
"577","ENSG00000157542"
"578","ENSG00000159322"
"579","ENSG00000113263"
"580","ENSG00000174485"
"581","ENSG00000112242"
"582","ENSG00000144218"
"583","ENSG00000184602"
"584","ENSG00000069493"
"585","ENSG00000197852"
"586","ENSG00000127084"
"587","ENSG00000154814"
"588","ENSG00000230708"
"589","ENSG00000082512"
"590","ENSG00000162551"
"591","ENSG00000153250"
"592","ENSG00000100351"
"593","ENSG00000128918"
"594","ENSG00000171310"
"595","ENSG00000260103"
"596","ENSG00000179144"
"597","ENSG00000134602"
"598","ENSG00000128815"
"599","ENSG00000181467"
"600","ENSG00000153574"
"601","ENSG00000167528"
"602","ENSG00000198223"
"603","ENSG00000072401"
"604","ENSG00000198408"
"605","ENSG00000125538"
"606","ENSG00000104324"
"607","ENSG00000093000"
"608","ENSG00000185905"
"609","ENSG00000008130"
"610","ENSG00000137198"
"611","ENSG00000103569"
"612","ENSG00000148841"
"613","ENSG00000102879"
"614","ENSG00000171862"
"615","ENSG00000174456"
"616","ENSG00000072786"
"617","ENSG00000139287"
"618","ENSG00000081059"
"619","ENSG00000121281"
"620","ENSG00000118596"
"621","ENSG00000185963"
"622","ENSG00000186529"
"623","ENSG00000206433"
"624","ENSG00000285148"
"625","ENSG00000106829"
"626","ENSG00000158517"
"627","ENSG00000167207"
"628","ENSG00000150045"
"629","ENSG00000069667"
"630","ENSG00000196268"
"631","ENSG00000139974"
"632","ENSG00000204592"
"633","ENSG00000225201"
"634","ENSG00000236632"
"635","ENSG00000142227"
"636","ENSG00000156931"
"637","ENSG00000204695"
"638","ENSG00000100030"
"639","ENSG00000134698"
"640","ENSG00000276849"
"641","ENSG00000146859"
"642","ENSG00000166439"
"643","ENSG00000214212"
"644","ENSG00000284578"
"645","ENSG00000091513"
"646","ENSG00000163393"
"647","ENSG00000213203"
"648","ENSG00000133138"
"649","ENSG00000196911"
"650","ENSG00000178996"
"651","ENSG00000133193"
"652","ENSG00000204131"
"653","ENSG00000166750"
"654","ENSG00000204623"
"655","ENSG00000225871"
