"","Correlation","Gene"
"380",0.389543022140062,"ZNF582"
"381",0.930021631864781,"VSIG2"
"382",0.74670502171557,"PHLDB1"
"383",0.918355229074309,"MARCO"
"384",-0.194950164844931,"CYP24A1"
"385",0.14525649740651,"PRDM11"
"386",0.79745913461153,"SYT13"
"387",0.858851904800691,"SNAI2"
"388",0.692531565523561,"CD74"
"389",0.886512000716867,"HGF"
"390",0.657886253611237,"ZRANB1"
"391",0.596044674788383,"NCDN"
"392",0.864093731720864,"ADGRA2"
"393",0.447174402078352,"ZFP64"
"394",0.74731720488122,"MNAT1"
"395",0.145112933911168,"SAMD4A"
"396",0.345686241619895,"RUNX3"
"397",0.718057738441377,"MRE11A"
"398",0.951155713652933,"PLEKHB1"
"399",0.771613016626232,"SERPINB1"
"400",0.525826029128598,"CYP3A43"
"401",0.906735224773231,"SLC7A9"
"402",0.747843407909216,"SPAST"
"403",0.971097775973036,"NRXN3"
"404",0.724694579468078,"OSBPL5"
"405",0.688748753907464,"AQR"
"406",0.859263681225858,"CPS1"
"407",0.84388023366392,"C8B"
"408",0.705024237273839,"FHL1"
"409",0.964564766623979,"RTFDC1"
"410",-0.181443684650606,"GABRA1"
"411",0.887750962401377,"NLRP2"
"412",0.87018652287033,"SLC45A4"
"413",0.505061128765634,"RNF10"
"414",0.652321835713208,"ZNF839"
"415",0.820690541957649,"ZDHHC6"
"416",0.883045145008353,"GRAMD1B"
"417",0.233069987273337,"RNH1"
"418",0.804401325006725,"NDUFS1"
"419",0.958509574743437,"RB1CC1"
"420",0.850346195959843,"ERP44"
"421",0.808959472317267,"ALAS1"
"422",0.901875469622932,"BIRC3"
"423",0.432118675449506,"AKAP11"
"424",0.90361343968142,"GLRX2"
"425",0.494586817339451,"SNAPC1"
"426",0.735821883711155,"DERA"
"427",0.633065469142837,"STRAP"
"428",0.880608186516102,"ABCC2"
"429",0.760007304444996,"DEF6"
"430",0.83140294301589,"PLEKHO1"
"431",0.675158916947433,"GCLM"
"432",0.633912152245837,"UBR2"
"433",0.734131882523901,"EHD2"
"434",0.714198950987852,"DEPDC1"
"435",0.617204248017601,"CCDC28A"
"436",0.702922381484929,"RRAGD"
"437",0.795659281540263,"HSF2"
"438",0.658900709587857,"PHF20"
"439",0.935176361433727,"HSD17B6"
"440",0.901626253970402,"NR1H3"
"441",0.769535419143372,"TYMP"
"442",0.728724794410708,"NCAPH2"
"443",0.84458353638927,"TOMM34"
"444",0.841244377004938,"SEC63"
"445",0.576431198839929,"KPNA6"
"446",0.598344004875024,"VIM"
"448",0.73975577116582,"FAS"
"449",0.826904345725762,"RNASET2"
"450",0.853403746242684,"CD44"
"451",-0.0722579727047538,"KCNG1"
"452",-0.0240232091402142,"AGPAT4"
"453",0.62475111613868,"SLAMF7"
"454",0.54186272899223,"BTN3A1"
"455",0.797095859007301,"MIPEP"
"456",0.307035665460918,"PRKCH"
"457",0.595648952318201,"INSRR"
"458",0.90936177143065,"IFNGR1"
"459",0.472521741830113,"B4GALT7"
"460",0.0803149378491066,"SH2D2A"
"461",0.849526584224113,"VRK2"
"462",0.471726828942226,"TNFRSF1B"
"463",0.676482300807123,"VEZT"
"464",0.694765395360392,"POU2F2"
"465",0.337267094018488,"BRD9"
"466",0.732518419640858,"SNX1"
"467",0.473745555596657,"TBPL1"
"468",0.620846197241796,"ARNTL2"
"469",0.53622617347385,"BCLAF1"
"470",0.852185879512605,"SLC39A9"
"471",-0.186846759124069,"ANK1"
"472",0.951912919431357,"IBSP"
"473",0.774738762651507,"TFB1M"
"474",0.700590535118661,"RABEP1"
"475",0.911432475728963,"HMGB3"
"476",0.921714442722892,"NUP160"
"477",0.244977621707425,"BAK1"
"478",0.748545368821754,"MUSK"
"479",0.080928867914615,"IKZF2"
"480",0.738766136999577,"GRN"
"481",0.223986540699975,"FAM13B"
"482",0.529003647388123,"ARHGAP31"
"483",0.878542380070444,"CENPQ"
"484",0.903910685496094,"SARS"
"485",0.570027283964918,"RANBP3"
"486",0.749882103369203,"ARID4A"
