"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MDK",238.487003002503,3.43519268200678,0.624143814518671,5.50384799480219,3.71589965519039e-08,2.48236320506068e-06
"HIST1H2BF",20.4129938949155,2.9781208820568,0.543408056103423,5.48045036985979,4.24244513942841e-08,2.79401033191979e-06
"BIRC5",17.4684054324567,3.37125487312116,0.618396044579385,5.45161131393425,4.99154616745017e-08,3.22647998101571e-06
"HMGA1",11.0779348201273,4.52273953450762,0.830127199117338,5.44824882176681,5.08681630942013e-08,3.25789584000568e-06
"RRM2",78.1071599206294,2.66479512587295,0.490155141587218,5.43663607657735,5.4295876274586e-08,3.43022183052385e-06
"LGR5",138.082194591194,3.89397159324331,0.721167078021831,5.39954153748188,6.68114141098932e-08,4.12752638850588e-06
"MCM7",230.490262170393,1.72447407489503,0.319423925434586,5.39870040276049,6.71253592473682e-08,4.12865315335575e-06
"NPC1",531.752720825593,1.29477122867868,0.240606045951659,5.38129132855963,7.39533966366887e-08,4.46985854476817e-06
"KRTCAP2",480.715338038438,1.39742987404593,0.261690575727537,5.34000840557928,9.29422721337522e-08,5.54555557064721e-06
"STMN1",158.089571077411,1.72104600709415,0.32283571646082,5.33102726662841,9.76587529667224e-08,5.75321311781172e-06
"SLC39A1",233.999919978391,1.34851299126532,0.25310626858112,5.32785299560105,9.93805054585044e-08,5.80565111804033e-06
"PRC1",66.7747900928507,2.79144914315934,0.523865864369681,5.32855704678914,9.89961043883941e-08,5.80565111804033e-06
"CTSA",1600.20017292693,1.09157979598627,0.205044685145608,5.32361906972184,1.01722814388889e-07,5.91772472707361e-06
"VPS72",106.776203364896,1.45542601926446,0.275214959843953,5.28832451582459,1.23441835709936e-07,7.0635037302546e-06
"TARBP1",110.709539899232,1.92126986216886,0.365745711952374,5.25302088140144,1.49624565207985e-07,8.32294095391988e-06
"HSP90AB1",3142.13376178577,1.17134792699991,0.223177698977145,5.24849898698825,1.53343483794411e-07,8.46237834283621e-06
"CSTB",175.491185390324,1.5978511155181,0.304624879100199,5.2453073440286,1.56022018437927e-07,8.54266439776602e-06
"ANAPC11",176.897275745057,1.46569034094598,0.281492993637813,5.20684483831888,1.92078572777151e-07,1.02358818057809e-05
"UBE2T",34.3866777585362,2.61788762755711,0.503295830126592,5.20148880808061,1.97698379621634e-07,1.04953033318527e-05
"HIST1H1C",1389.57432958163,1.57893033176406,0.303841930878768,5.19655179651308,2.03019052579189e-07,1.069642268721e-05
"HIST1H2BO",31.2348070740518,2.84677132296074,0.550203286224852,5.17403547785672,2.29091295307143e-07,1.19796729029151e-05
"PPARG",92.4731505169731,1.67410437346001,0.32394247650303,5.16790632562923,2.367309003161e-07,1.23002636126042e-05
"UHRF1",17.5050701375442,3.87476080142253,0.749802794325644,5.16770653663329,2.36984021758381e-07,1.23002636126042e-05
"GPATCH4",48.4919519171286,1.68615610704265,0.326924200688515,5.15763624562373,2.50086865120124e-07,1.28845491173697e-05
"HIST1H2BJ",78.9708057714237,2.00970541962428,0.391084824744176,5.13879673275204,2.76503297214513e-07,1.40383237662147e-05
"NEK2",24.5193917657608,3.54723625882081,0.690732904364688,5.1354673223269,2.81443781880668e-07,1.41859858578263e-05
"CPSF4",30.603062151817,1.76802453287121,0.344370328016528,5.13407918462228,2.83528713644621e-07,1.42396687046986e-05
"ORMDL2",182.197218218704,1.32739776859071,0.258626786304721,5.13248371352661,2.85943478047984e-07,1.43094725466163e-05
"HIST1H4A",55.5157195016404,2.72776957305454,0.531591423190857,5.13132728267361,2.87706152106486e-07,1.43462617703956e-05
"ZIC5",10.0432367659142,5.2560127781947,1.02504103786044,5.12761205069948,2.93440335500296e-07,1.45801208692353e-05
"ZWINT",30.3632530988779,2.69737477581864,0.527879771645406,5.10982788260838,3.22452432048034e-07,1.59084129196277e-05
"S100P",128.350748674194,5.74120433408724,1.12627012752319,5.09753761001624,3.44100065930574e-07,1.67983395822471e-05
"DLK1",4036.84819729788,7.43187642525212,1.45822799856656,5.09651195324578,3.45968727893714e-07,1.68307156057562e-05
"ITGA6",492.427077810789,1.81185051492339,0.357223830221806,5.07203148736853,3.93591242648783e-07,1.8884264363788e-05
"ATP6V1F",82.0911983719391,1.33226039431962,0.262886104235417,5.06782356638588,4.02390114942476e-07,1.91094244381866e-05
"B3GNTL1",15.7613553428115,2.75295078873193,0.54315996239545,5.06839785574554,4.01178172307114e-07,1.91094244381866e-05
"SNRPC",182.063456479762,1.4736274113735,0.29117129294655,5.06103261918753,4.16991859985542e-07,1.96322941275544e-05
"SGOL2",38.3789508232958,2.56113009476068,0.506077552896858,5.06074628305567,4.1761863313878e-07,1.96322941275544e-05
"RAB11FIP4",62.5524131774093,2.10973078270263,0.417090435475949,5.05820945113542,4.23211453431028e-07,1.98284507141074e-05
"SNRPD2",205.032574901554,1.2382935270892,0.245196942615649,5.05019970428527,4.41348416543458e-07,2.06090521464206e-05
"PEA15",162.495200561043,1.70489695305338,0.338832234660387,5.03168464701182,4.86188531093024e-07,2.24031824129399e-05
"FER1L6",117.768848525802,6.83460118965832,1.36111719751864,5.02131719599017,5.13183305542745e-07,2.34920174163534e-05
"HJURP",24.02356874867,3.41983595488386,0.681781361731327,5.01603028014651,5.27500187385757e-07,2.40684889420913e-05
"HPS3",108.645974269671,1.40672883332773,0.280922532119048,5.00753294054601,5.51321184777424e-07,2.50734409832651e-05
"SULT1C2",66.0401595352305,3.99320033171227,0.801684170604003,4.98101431727624,6.32518595012956e-07,2.83052071268298e-05
"PYCR1",100.957571669864,3.40471606556855,0.686916095703648,4.95652392899733,7.1765532410591e-07,3.18092178894182e-05
"TUFT1",39.3727307228872,2.0074441437923,0.405745595283314,4.94754389728024,7.51557585386511e-07,3.29976320980077e-05
"SCAMP3",239.01917638096,1.53084960401566,0.309581964818906,4.94489271980412,7.61858082643395e-07,3.33450236672949e-05
"PIGT",415.762150778498,1.09017904159856,0.221632921187234,4.91884976184375,8.70542523468815e-07,3.76300765098192e-05
"KIF20A",49.0575967544711,2.63013052130092,0.535507447560099,4.9114732825555,9.0394606001042e-07,3.88335227380477e-05
"ECT2",93.1379804348254,2.50627202109568,0.510414775474626,4.91026541848272,9.09532014343644e-07,3.89536379885459e-05
"TTC13",110.932275007081,1.44366092211964,0.294711006552116,4.89856466173191,9.65392697184498e-07,4.10391104101536e-05
"PSPH",29.9349802949077,2.72507394397769,0.556338639078295,4.89822879908613,9.67043928157896e-07,4.10391104101536e-05
"MYO1A",21.9281202994308,4.18940230246598,0.856114988099572,4.89350421462161,9.9056192038909e-07,4.1783158708376e-05
"ADAM15",86.9275436107343,1.41997379691459,0.290601862782367,4.88632035362422,1.02737982922934e-06,4.30759074345347e-05
"FDPS",804.522571813963,1.67338069695083,0.34256166117072,4.88490361481778,1.03479461810722e-06,4.32568935868652e-05
"EPCAM",598.610323970048,3.34322853235692,0.68491839533488,4.88120709726638,1.0543844094467e-06,4.39442242528203e-05
"DLGAP5",40.1407469380306,3.13276192505244,0.642854434572309,4.87320574701591,1.09801764124626e-06,4.54911641159652e-05
