"","A1","A2","A3","B1","B2","B3","B4","B5","А4","А5"
"ENSG00000007933",106,126,79,69,79,44,74,12,121,77
"ENSG00000007944",1176,1252,1293,1174,1123,1163,1191,1894,1293,1480
"ENSG00000007952",10,7,11,9,5,6,14,11,12,21
"ENSG00000007968",187,153,158,372,368,301,308,463,147,142
"ENSG00000008018",2711,2436,2760,752,767,823,692,4456,2811,5082
"ENSG00000008056",15,9,7,36,14,21,28,28,13,23
"ENSG00000008083",801,819,804,1489,1374,1485,1334,2438,878,864
"ENSG00000008086",1194,947,845,1791,2336,2005,1958,257,869,200
"ENSG00000008118",24,22,29,11,15,8,17,1,21,11
"ENSG00000008128",683,676,673,478,347,340,306,1744,595,1505
"ENSG00000008130",1599,1492,1508,2688,2532,2565,2503,18989,1566,2800
"ENSG00000008196",1,0,0,33,26,26,30,4,0,0
"ENSG00000008197",0,0,0,13,8,8,17,0,0,0
"ENSG00000008226",193,149,166,134,178,220,179,327,177,58
"ENSG00000008256",1666,1664,1828,194,271,234,201,425,1729,2554
"ENSG00000008277",309,262,268,381,364,474,440,67,318,114
"ENSG00000008282",1671,1807,1701,467,453,443,443,1806,1718,4106
"ENSG00000008283",1487,1315,1361,191,167,156,174,1281,1347,2490
"ENSG00000008294",6226,6218,6160,4865,5261,5340,4999,1770,5976,2865
"ENSG00000008300",108,70,178,79,62,65,57,561,117,250
"ENSG00000008311",1665,1779,1751,147,144,145,140,48,1723,1256
"ENSG00000008323",2119,2097,2011,287,230,248,274,121,2006,3217
"ENSG00000008324",275,298,300,92,84,108,71,548,297,706
"ENSG00000008382",352,339,467,72,83,95,91,811,342,850
"ENSG00000008394",754,776,817,236,226,223,265,1161,734,2669
"ENSG00000008405",995,1116,1008,223,223,286,197,317,1179,1433
"ENSG00000008438",3,5,4,23,22,11,18,2377,8,0
"ENSG00000008441",503,434,485,222,245,126,209,947,467,845
"ENSG00000008513",722,792,946,3606,3270,2857,3444,3542,626,368
"ENSG00000008516",88,67,41,841,827,789,669,24296,77,89
"ENSG00000008517",1396,1459,1347,267,347,325,310,28719,1370,9733
"ENSG00000008710",1326,935,1257,317,339,372,340,2151,1207,1869
"ENSG00000008735",82,69,79,67,59,60,63,40,64,69
"ENSG00000008838",925,945,1117,396,376,342,377,1603,1130,2150
"ENSG00000008853",1929,1523,1777,225,232,204,157,542,1612,2989
"ENSG00000008869",2389,2447,2283,2721,2495,2780,2545,1179,2645,1386
"ENSG00000008952",4776,5036,4675,2347,2373,2436,2451,2158,4610,4902
"ENSG00000008988",8195,7619,8521,2763,2893,3127,3032,19154,8907,14324
"ENSG00000009307",16690,17447,16342,8921,9635,10838,9121,10134,15817,19779
"ENSG00000009335",3693,3484,3393,2274,2147,2072,2175,1186,3478,2289
"ENSG00000009413",3133,3310,2949,2618,2742,2696,2471,640,2781,923
"ENSG00000009694",129,75,59,591,736,648,556,118,60,49
"ENSG00000009709",0,0,0,15,9,17,18,0,0,0
"ENSG00000009724",89,101,110,165,172,192,160,96,138,135
"ENSG00000009765",4921,4966,4538,212,281,281,242,142,4884,4316
"ENSG00000009780",635,735,612,391,430,325,377,455,611,460
"ENSG00000009790",355,456,460,2869,2922,2943,2569,14605,424,614
"ENSG00000009830",323,254,324,196,177,244,190,229,371,323
"ENSG00000009844",1590,1324,1492,494,599,466,460,987,1473,2397
"ENSG00000009950",874,959,986,52,67,53,83,62,930,3865
"ENSG00000009954",2960,3288,2954,1224,1244,1107,1141,2366,2899,2836
"ENSG00000010017",1371,1391,1386,612,619,669,595,1185,1126,1961
"ENSG00000010030",274,286,309,50,63,32,41,184,305,578
"ENSG00000010072",478,432,413,457,458,555,529,255,465,255
"ENSG00000010165",634,435,529,416,289,328,360,1386,510,1174
"ENSG00000010219",268,212,292,140,152,129,154,404,256,492
"ENSG00000010244",7421,7702,7615,7166,7140,6881,6603,7445,7539,6947
"ENSG00000010256",5449,5333,5873,655,768,788,731,5752,5550,10802
"ENSG00000010270",1182,1157,1254,439,481,404,444,659,1142,1550
"ENSG00000010278",2409,2185,2494,410,404,459,398,1160,2489,4903
"ENSG00000010282",6,4,0,11,18,15,20,5,0,10
"ENSG00000010292",1431,1218,1219,783,822,633,647,2148,1331,1998
"ENSG00000010295",242,241,261,272,327,270,214,4444,280,588
"ENSG00000010310",153,152,172,190,222,134,197,189,146,124
"ENSG00000010318",187,236,205,120,152,101,103,161,194,310
"ENSG00000010319",183,197,242,10,11,51,39,17,193,257
"ENSG00000010322",1605,1402,1559,980,999,853,728,3916,1554,2209
"ENSG00000010327",5032,5232,5903,817,817,685,607,10106,5427,10028
"ENSG00000010361",114,130,158,141,143,117,141,984,145,272
"ENSG00000010379",121,123,131,23,24,11,16,16,117,284
"ENSG00000010404",2278,2453,2550,2776,2864,2744,2706,8740,2622,4026
"ENSG00000010438",1196,1035,1211,44,38,21,35,36,1215,2367
"ENSG00000010539",516,571,556,900,904,923,837,1126,517,400
"ENSG00000010610",448,389,494,817,845,749,805,11057,478,1041
"ENSG00000010626",27,53,20,50,59,59,67,104,48,55
"ENSG00000010671",200,197,145,1019,936,964,886,4445,198,310
"ENSG00000010704",301,274,320,213,257,181,164,306,272,419
